019-12-25T23:42:29.081+07:00	INFO 	R1 receive event <-495:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>32
2019-12-25T23:42:30.574+07:00	INFO 	R1 receive event <-496:Evt,8F203,3,R1:B1,P1:1,GetWaf,^1 is now retracted from ^2 during ^3 command>9B
2019-12-25T23:42:30.603+07:00	INFO 	R1 receive message <776:Res,0>64
2019-12-25T23:42:30.632+07:00	INFO 	R1 send <780:QryCpos,R1:B1,Symbl>39
2019-12-25T23:42:30.658+07:00	INFO 	R1 receive message <780:Ack,0>44
2019-12-25T23:42:30.688+07:00	INFO 	R1 receive message <780:Res,P1:1,Safe>C6
2019-12-25T23:42:30.719+07:00	INFO 	R1 send <781:PutWaf,R1:B1,P1:25>DB
2019-12-25T23:42:30.748+07:00	INFO 	R1 receive message <781:Ack,0>45
2019-12-25T23:42:31.469+07:00	INFO 	R1 receive event <-497:Evt,8F201,3,R1:B1,P1:25,PutWaf,^1 is now pointing at ^2 during ^3 command>B4
2019-12-25T23:42:32.474+07:00	INFO 	R1 receive event <-498:Evt,8F202,3,R1:B1,P1:25,PutWaf,^1 is now extended into ^2 during ^3 command>84
2019-12-25T23:42:33.739+07:00	INFO 	R1 receive event <-499:Evt,8F203,3,R1:B1,P1:25,PutWaf,^1 is now retracted from ^2 during ^3 command>ED
2019-12-25T23:42:33.769+07:00	INFO 	R1 receive message <781:Res,0>60
2019-12-25T23:42:33.798+07:00	INFO 	R1 send <785:QryCpos,R1:B1,Symbl>3E
2019-12-25T23:42:33.826+07:00	INFO 	R1 receive message <785:Ack,0>49
2019-12-25T23:42:33.859+07:00	INFO 	R1 receive message <785:Res,P1:25,Safe>01
2019-12-25T23:42:43.894+07:00	INFO 	R1 send <796:GetWaf,R1:B1,P1:25>C8
2019-12-25T23:42:43.932+07:00	INFO 	R1 receive message <796:Ack,0>4B
2019-12-25T23:42:44.920+07:00	INFO 	R1 receive event <-500:Evt,8F202,3,R1:B1,P1:25,GetWaf,^1 is now extended into ^2 during ^3 command>5B
2019-12-25T23:42:46.409+07:00	INFO 	R1 receive event <-501:Evt,8F203,3,R1:B1,P1:25,GetWaf,^1 is now retracted from ^2 during ^3 command>C4
2019-12-25T23:42:46.437+07:00	INFO 	R1 receive message <796:Res,0>66
2019-12-25T23:42:46.466+07:00	INFO 	R1 send <800:QryCpos,R1:B1,Symbl>32
2019-12-25T23:42:46.496+07:00	INFO 	R1 receive message <800:Ack,0>3D
2019-12-25T23:42:46.523+07:00	INFO 	R1 receive message <800:Res,P1:25,Safe>F5
2019-12-25T23:42:46.555+07:00	INFO 	R1 send <801:PutWaf,R1:B1,P1:1>9E
2019-12-25T23:42:46.583+07:00	INFO 	R1 receive message <801:Ack,0>3E
2019-12-25T23:42:47.304+07:00	INFO 	R1 receive event <-502:Evt,8F201,3,R1:B1,P1:1,PutWaf,^1 is now pointing at ^2 during ^3 command>71
2019-12-25T23:42:48.311+07:00	INFO 	R1 receive event <-503:Evt,8F202,3,R1:B1,P1:1,PutWaf,^1 is now extended into ^2 during ^3 command>41
2019-12-25T23:42:49.575+07:00	INFO 	R1 receive event <-504:Evt,8F203,3,R1:B1,P1:1,PutWaf,^1 is now retracted from ^2 during ^3 command>AA
2019-12-25T23:42:49.603+07:00	INFO 	R1 receive message <801:Res,0>59
2019-12-25T23:42:49.633+07:00	INFO 	R1 send <805:QryCpos,R1:B1,Symbl>37
2019-12-25T23:42:49.668+07:00	INFO 	R1 receive message <805:Ack,0>42
2019-12-25T23:42:49.696+07:00	INFO 	R1 receive message <805:Res,P1:1,Safe>C4
2019-12-25T23:42:54.731+07:00	INFO 	P1 send <111:Unload,Unclamp>2C
2019-12-25T23:42:54.762+07:00	INFO 	P1 receive message <111:Ack,0>38
2019-12-25T23:42:55.448+07:00	INFO 	P1 receive event <-413:Evt,DF037,POD Lowered Off>BA
2019-12-25T23:42:55.454+07:00	INFO 	P1 receive event <-414:Evt,DF041,Mapper not in safe location>AB
2019-12-25T23:42:57.554+07:00	INFO 	P1 receive event <-415:Evt,DF034,PDO Raised On>E1
2019-12-25T23:42:57.581+07:00	INFO 	P1 receive event <-416:Evt,DF033,PDO Undocked Off>14
2019-12-25T23:42:58.841+07:00	INFO 	P1 receive event <-417:Evt,DF030,PDO Docked On>D1
2019-12-25T23:42:58.848+07:00	INFO 	P1 receive event <-418:Evt,DF023,FOUP Door Unlatched Off>8B
2019-12-25T23:42:58.852+07:00	INFO 	P1 receive event <-419:Evt,DF020,FOUP Door Latched On>48
